Length,Speaker,Emotions,Start_Time,End_Time,Utterances,Dialogue_ID,Season,Episode,Utterance_IDs,Line_Indices
3,Phoebe,"['surprise', 'neutral', 'neutral']","0:10:19,750","00:10:26,499","['What?!', 'He was with her when he wrote this poem.', ""Look,  'My vessel so empty with nothing inside.""]",3,3,12,"[2, 3, 4]","39,40,41"
3,Phoebe,"['neutral', 'neutral', 'surprise']","00:10:23,664","00:10:32,672","[""Look,  'My vessel so empty with nothing inside."", ""Now that I've touched you, you seem emptier still.'"", 'He thinks Monica is empty, she is the empty vase!']",3,3,12,"[4, 5, 6]","41,42,43"
2,Phoebe,"['neutral', 'surprise']","00:10:26,667","00:10:32,672","[""Now that I've touched you, you seem emptier still.'"", 'He thinks Monica is empty, she is the empty vase!']",3,3,12,"[5, 6]","42,43"
3,Joey,"['anger', 'anger', 'neutral']","0:12:58,432","0:13:07,242","['There was no kangaroo!', 'They didn’t take any of my suggestions!', 'That’s for coming buddy.']",6,8,22,"[10, 11, 12]","76,77,78"
3,Joey,"['anger', 'neutral', 'neutral']","0:12:59,809","0:13:08,202","['They didn’t take any of my suggestions!', 'That’s for coming buddy.', 'I’ll see you later.']",6,8,22,"[11, 12, 13]","77,78,79"
3,Chandler,"['sadness', 'sadness', 'surprise']","0:13:08,804","0:13:11,407","['I’m sorry.', 'I’m so sorry!', 'Look!']",6,8,22,"[15, 16, 17]","81,82,83"
3,Chandler,"['sadness', 'surprise', 'anger']","0:13:09,526","0:13:12,589","['I’m so sorry!', 'Look!', 'This guy fell asleep!']",6,8,22,"[16, 17, 18]","82,83,84"
3,Chandler,"['surprise', 'anger', 'anger']","0:13:10,945","0:13:13,215","['Look!', 'This guy fell asleep!', 'He fell asleep too!']",6,8,22,"[17, 18, 19]","83,84,85"
3,Joey,"['neutral', 'fear', 'neutral']","00:10:07,023","00:10:21,536","['Nothing!', 'Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since.', 'But um, I don’t think it’s anything serious.']",12,6,4,"[5, 6, 7]","132,133,134"
2,Joey,"['fear', 'neutral']","00:10:08,190","00:10:21,536","['Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since.', 'But um, I don’t think it’s anything serious.']",12,6,4,"[6, 7]","133,134"
3,Charlie,"['sadness', 'neutral', 'neutral']","0:42:52,950","00:43:12,547","['I guess.', 'There was hum...  there was another reason that I thought it was time to end it with Joey.', 'I started to realize that I was having feelings for someone  else.']",15,9,23,"[9, 10, 11]","158,159,160"
3,Ross,"['anger', 'anger', 'neutral']","0:43:28,147","0:43:32,788","['Please!', ""Aren't we a little old for this?"", ""I mean, we're scientists, right?""]",15,9,23,"[17, 18, 19]","166,167,168"
3,Ross,"['anger', 'neutral', 'anger']","0:43:28,699","0:43:33,798","[""Aren't we a little old for this?"", ""I mean, we're scientists, right?"", ""We're academics.""]",15,9,23,"[18, 19, 20]","167,168,169"
3,Ross,"['neutral', 'anger', 'joy']","0:43:31,066","00:43:37,780","[""I mean, we're scientists, right?"", ""We're academics."", 'And most importantly I... you-you will have to catch us first.']",15,9,23,"[19, 20, 21]","168,169,170"
3,Ross,"['anger', 'joy', 'joy']","0:43:32,788","00:43:40,366","[""We're academics."", 'And most importantly I... you-you will have to catch us first.', 'GO, GO, GO!']",15,9,23,"[20, 21, 22]","169,170,172"
2,Joey,"['anger', 'joy']","00:06:15,416","00:06:25,542","[""Okay, see that blind guy right there? I'm gonna bash his head in later."", 'Oh umm, my big scene is coming up. Big scene coming up.']",17,5,19,"[0, 1]","179,180"
2,Joey,"['joy', 'fear']","00:05:23,489","0:05:29,670","['Okay!', 'Uh-oh.']",18,5,21,"[5, 6]","195,196"
2,Joey,"['sadness', 'surprise']","00:05:30,330","00:05:41,548","[""I have to pee. And Rachel's in the bathroom!"", ""Man, I didn't think we were gonna make it!""]",18,5,21,"[8, 9]","198,199"
3,Joey,"['joy', 'joy', 'neutral']","0:11:05,303","00:11:08,834","['You guys were totally right!', 'This is so much better than the first time we went out.', 'Y’know?']",20,7,7,"[6, 7, 8]","209,210,211"
3,Joey,"['joy', 'neutral', 'neutral']","00:11:06,374","00:11:11,378","['This is so much better than the first time we went out.', 'Y’know?', 'That was so awkward, we were really nervous.']",20,7,7,"[7, 8, 9]","210,211,212"
3,Joey,"['neutral', 'joy', 'joy']","0:11:12,811","0:11:18,734","['Yeah, that really calms me down.', 'And!', 'We have so much in common!']",20,7,7,"[11, 12, 13]","214,215,216"
3,Phoebe,"['disgust', 'neutral', 'neutral']","00:02:10,088","00:02:24,726","[""My grandmother has this new boyfriend, and they're both kind of insecure in bed."", 'Oh, and deaf.', ""So they're constantly, like, having to reassure each other that they're having a good time.""]",21,1,4,"[8, 9, 10]","228,229,230"
3,Phoebe,"['neutral', 'neutral', 'disgust']","00:02:17,345","00:02:26,937","['Oh, and deaf.', ""So they're constantly, like, having to reassure each other that they're having a good time."", 'You have no idea how loud they are!']",21,1,4,"[9, 10, 11]","229,230,231"
2,Phoebe,"['neutral', 'disgust']","00:02:20,682","00:02:26,937","[""So they're constantly, like, having to reassure each other that they're having a good time."", 'You have no idea how loud they are!']",21,1,4,"[10, 11]","230,231"
3,Ross,"['anger', 'anger', 'joy']","0:19:19,201","00:19:29,917","['Are you kidding?', 'I-I hurt three huge men, I gave a guy a bloody nose—I mean I-I’m not proud of it but, I really am.', 'And it’s all because of you, wonderful, amazing you.']",28,4,15,"[1, 2, 3]","287,288,289"
2,Ross,"['anger', 'joy']","0:19:19,673","00:19:29,917","['I-I hurt three huge men, I gave a guy a bloody nose—I mean I-I’m not proud of it but, I really am.', 'And it’s all because of you, wonderful, amazing you.']",28,4,15,"[2, 3]","288,289"
3,Ross,"['neutral', 'neutral', 'fear']","0:04:52,542","00:05:00,799","['Okay.', 'I can, I can see that.', 'Umm, but I think if you give me umm, one chance I can, I can change your mind.']",30,6,21,"[9, 10, 11]","317,318,319"
2,Ross,"['neutral', 'fear']","0:04:52,844","00:05:00,799","['I can, I can see that.', 'Umm, but I think if you give me umm, one chance I can, I can change your mind.']",30,6,21,"[10, 11]","318,319"
2,Ross,"['surprise', 'neutral']","0:11:28,021","00:11:32,732","['The actress!', 'Thanks Rach.']",32,1,12,"[7, 8]","336,337"
3,Ross,"['joy', 'joy', 'anger']","0:11:35,824","00:11:43,076","['You have to tell her!', 'You have to tell her!', ""It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!""]",32,1,12,"[10, 11, 12]","339,340,341"
3,Ross,"['joy', 'anger', 'anger']","00:11:36,779","0:11:40,033","['You have to tell her!', ""It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!"", 'Guys?']",32,1,12,"[11, 12, 13]","340,341,342"
3,Phoebe,"['surprise', 'joy', 'joy']","0:21:24,783","0:21:28,010","['I can’t believe it!', 'I did it!', 'I rode a bike!']",35,7,9,"[0, 1, 2]","353,354,355"
3,Ross,"['neutral', 'anger', 'surprise']","00:20:37,611","0:20:49,582","['No-no, I took them from the hotel lobby.', 'Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming.', 'Hey!']",38,8,2,"[5, 6, 7]","400,401,402"
