movie,speaker,utterance,srt_index,emotion,emotion_id,start_time,end_time
Brave,LordDingwall,Men: Dingwall!,0280,neutral,4,"00:19:46,602","00:19:48,593"
Brave,LordDingwall,and he took out a whole armada singlehandedly.,0283,neutral,4,"00:19:58,447","00:20:02,690"
Brave,LordDingwall,"With one arm, he was...",0284,neutral,4,"00:20:02,827","00:20:04,283"
Brave,LordDingwall,With one arm he was steering the ship,0285,neutral,4,"00:20:05,579","00:20:08,286"
Brave,LordDingwall,and with the other he held his mighty sword,0286,neutral,4,"00:20:08,332","00:20:11,449"
Brave,LordDingwall,Man: Lies! What? I heard that.,0288,angry,0,"00:20:14,338","00:20:16,704"
Brave,LordDingwall,Go on. Say it to my face.,0289,neutral,4,"00:20:16,966","00:20:18,957"
Brave,LordDingwall,"Or are ye scared, simpering jackanapes,",0290,neutral,4,"00:20:19,301","00:20:21,963"
Brave,LordDingwall,"And we don't hide under Bridges, you grumpy old troll.",0294,neutral,4,"00:20:32,148","00:20:35,640"
Brave,LordDingwall,"You want to laugh, huh?",0295,disgust,1,"00:20:39,155","00:20:41,271"
Brave,LordDingwall,With a mighty throw of his spear!,0817,neutral,4,"01:06:23,480","01:06:25,562"
Brave,LordDingwall,What? Aye. Why shouldn't we choose?,0851,angry,0,"01:08:30,064","01:08:33,397"
Brave,LordDingwall,If they can.,0858,others,7,"01:08:58,593","01:08:59,924"
Brave,LordMacGuffin,Men: Macguffin!,0274,neutral,4,"00:19:25,915","00:19:27,576"
Brave,LordMacGuffin,"Good majesty, I present my eldest son,",0275,neutral,4,"00:19:28,376","00:19:32,585"
Brave,LordMacGuffin,who scuttled the viking longships,0276,neutral,4,"00:19:32,672","00:19:35,459"
Brave,LordMacGuffin,Here we go. Another hunt through the castle.,0555,neutral,4,"00:41:43,793","00:41:46,535"
Brave,LordMacGuffin,No more talk. No more traditions.,0766,angry,0,"01:03:35,520","01:03:38,227"
Brave,LordMacGuffin,Once there was an ancient kingdom.,0792,neutral,4,"01:05:16,287","01:05:19,905"
Brave,LordMacGuffin,I did not pick her out. It was your idea.,0853,neutral,4,"01:08:35,653","01:08:38,645"
Brave,LordMacGuffin,Good?,0855,neutral,4,"01:08:47,081","01:08:49,538"
Brave,LordMacGuffin,"Well, that settles it.",0856,happy,3,"01:08:52,170","01:08:53,706"
Brave,LordMacGuffin,Let these lads try and win her heart before they win her hand.,0857,happy,3,"01:08:53,796","01:08:58,540"
