movie,filename,time_offset,srt_file,checked
Bossbaby,,0.0,,False
Brave,Brave (2012) [1080p]/Brave.2012.1080p.BRrip.x264.YIFY.mp4,-0.7733636363636368,Brave (2012) [1080p]/Brave.2012.1080p.BRrip.x264.YIFY.srt,True
Cloudy,Cloudy with a Chance of Meatballs (2009) 1080p x264 DD5.1 EN NL Subs [Asian Torrenz]/Cloudy with a Chance of Meatballs 2009 1080p x264.mkv,0.0154615384615374,Cloudy with a Chance of Meatballs (2009) 1080p x264 DD5.1 EN NL Subs [Asian Torrenz]/Cloudy with a Chance of meatballs 2009 1080p x264 EN.srt,True
CloudyII,Cloudy with a Chance of Meatballs 2 (2013)/Cloudy.with.a.Chance.of.Meatballs.2.2013.720p.BluRay.x264.YIFY.mp4,0.001,,True
Coco,Coco.2017.1080p.10bit.BluRay.8CH.x265.HEVC-PSA/Coco.2017.1080p.10bit.BluRay.8CH.x265.HEVC-PSA.mkv,-0.31,,True
Croods,The Croods (2013) [1080p]/The.Croods.2013.1080p.BluRay.x264.YIFY.mp4,0.01,,True
Dragon,How To Train Your Dragon (2010) [1080p]/How.To.Train.Your.Dragon.2010.1080p.BrRip.x264.YIFY.mp4,0.001,How To Train Your Dragon (2010) [1080p]/How.To.Train.Your.Dragon.2010.1080p.BrRip.x264.YIFY.srt,True
DragonII,How to Train Your Dragon 2 (2014) [1080p]/How.to.Train.Your.Dragon.2.2014.1080p.BluRay.x264.YIFY.mp4,0.001,,True
Frozen,Frozen/Frozen.mkv,0.001,,True
FrozenII,Frozen II (2019) [1080p] [BluRay] [5.1] [YTS.MX]/Frozen.II.2019.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,0.001,Frozen II (2019) [1080p] [BluRay] [5.1] [YTS.MX]/Frozen.II.2019.1080p.BluRay.x264.AAC5.1-[YTS.MX].srt,True
Incredibles,The.Incredibles.2004.1080p.BRRip.5.1.HEVC.x265-GIRAYS/The.Incredibles.2004.1080p.BRRip.5.1.HEVC.x265-GIRAYS.mkv,-0.9,,True
IncrediblesII,,0.0,,
Inside,,0.0,,
Meet,,0.0,,
Moana,,0.0,,
Ralph,,0.0,,
Tangled,,0.0,,
Tinker,,0.0,,
TinkerII,,0.0,,
TinkerIII,,0.0,,
Toy,,0.0,,
ToyII,,0.0,,
ToyIII,,0.0,,
Up,,0.0,,
Wreck,,0.0,,
Zootopia,,0.0,,
